Date,Open,High,Low,Close,Adj Close,Volume
2020-12-21,39130.648438,39130.648438,38407.929688,39033.968750,39033.968750,0
2020-12-22,39033.968750,39145.839844,38884.128906,39053.011719,39053.011719,0
2020-12-23,39053.011719,39288.410156,39053.011719,39091.019531,39091.019531,0
2020-12-24,39091.019531,39181.980469,39046.679688,39175.589844,39175.589844,0
2020-12-28,39175.589844,39478.050781,39175.589844,39358.070313,39358.070313,0
2020-12-29,39358.070313,39573.789063,39134.699219,39200.601563,39200.601563,0
2020-12-30,39200.601563,39428.171875,39200.601563,39301.238281,39301.238281,0
2020-12-31,39301.238281,39482.648438,39198.078125,39456.660156,39456.660156,0
2021-01-04,39456.660156,39624.929688,38484.671875,38892.089844,38892.089844,0
2021-01-05,38892.089844,39314.839844,38836.828125,39217.968750,39217.968750,0
2021-01-06,39217.968750,39889.300781,39061.609375,39522.078125,39522.078125,0
2021-01-07,39522.078125,40257.359375,39522.078125,40190.109375,40190.109375,0
2021-01-08,40190.109375,40421.660156,39941.671875,40386.078125,40386.078125,0
2021-01-11,40386.078125,40386.078125,39979.460938,40161.078125,40161.078125,0
2021-01-12,40161.078125,40354.449219,40023.058594,40305.000000,40305.000000,0
2021-01-13,40305.000000,40473.511719,40171.828125,40338.039063,40338.039063,0
2021-01-14,40338.039063,40570.781250,40264.500000,40297.308594,40297.308594,0
2021-01-15,40297.308594,40297.308594,39766.601563,39981.968750,39981.968750,0
2021-01-19,39981.968750,40378.718750,39981.968750,40328.828125,40328.828125,0
2021-01-20,40328.828125,40899.949219,40328.828125,40829.128906,40829.128906,0
2021-01-21,40829.128906,40915.640625,40716.601563,40809.519531,40809.519531,0
2021-01-22,40809.519531,40863.441406,40567.710938,40783.628906,40783.628906,0
2021-01-25,40783.628906,41049.289063,40293.621094,40913.039063,40913.039063,0
2021-01-26,40913.039063,41097.121094,40785.191406,40802.109375,40802.109375,0
2021-01-27,40802.109375,40802.109375,39605.980469,39790.191406,39790.191406,0
2021-01-28,39790.191406,40541.878906,39790.191406,40127.058594,40127.058594,0
2021-01-29,40127.058594,40127.058594,39178.531250,39396.171875,39396.171875,0
2021-02-01,39396.171875,40158.761719,39396.171875,40074.460938,40074.460938,0
2021-02-02,40074.460938,40792.640625,40074.460938,40649.109375,40649.109375,0
2021-02-03,40649.109375,40899.019531,40556.500000,40728.539063,40728.539063,0
2021-02-04,40728.539063,41216.378906,40728.539063,41214.941406,41214.941406,0
2021-02-05,41214.941406,41498.488281,41214.941406,41448.871094,41448.871094,0
2021-02-08,41448.871094,41828.339844,41448.871094,41828.218750,41828.218750,0
2021-02-09,41828.218750,41932.128906,41701.171875,41847.050781,41847.050781,0
2021-02-10,41847.050781,42093.039063,41533.949219,41833.269531,41833.269531,0
2021-02-11,41833.269531,42028.230469,41600.890625,41899.281250,41899.281250,0
2021-02-12,41899.281250,42112.730469,41772.488281,42099.851563,42099.851563,0
2021-02-16,42099.851563,42290.820313,41909.839844,42030.011719,42030.011719,0
2021-02-17,42030.011719,42030.011719,41579.691406,41932.281250,41932.281250,0
2021-02-18,41932.281250,41932.281250,41351.238281,41674.300781,41674.300781,0
2021-02-19,41674.300781,41988.750000,41674.300781,41747.250000,41747.250000,0
2021-02-22,41747.250000,41747.250000,41311.429688,41316.558594,41316.558594,0
2021-02-23,41316.558594,41428.898438,40285.789063,41284.109375,41284.109375,0
2021-02-24,41284.109375,41795.910156,41056.359375,41763.011719,41763.011719,0
2021-02-25,41763.011719,41785.960938,40472.179688,40629.398438,40629.398438,0
2021-02-26,40629.398438,41018.609375,40168.660156,40508.679688,40508.679688,0
2021-03-01,40508.679688,41655.351563,40508.679688,41538.328125,41538.328125,0
2021-03-02,41538.328125,41591.128906,41140.699219,41140.898438,41140.898438,0
2021-03-03,41140.898438,41197.410156,40492.910156,40496.929688,40496.929688,0
